global_step,epoch,elapsed_time_s,train_loss,train_accuracy,val_loss,val_accuracy,num_workers,worker_index,samples_per_worker
391,1,46.503,1.4536525011062622,0.4761599898338318,1.1702213287353516,0.5849999785423279,2,0,25000
782,2,92.522,1.0285542011260986,0.6377999782562256,1.0328285694122314,0.633899986743927,2,0,25000
1173,3,139.825,0.8433709144592285,0.707099974155426,0.8914860486984253,0.6963000297546387,2,0,25000
1564,4,221.845,0.7256255745887756,0.7486199736595154,0.8292980194091797,0.7190999984741211,2,0,25000
1955,5,272.982,0.614101767539978,0.7879800200462341,0.8373226523399353,0.7250000238418579,2,0,25000
2346,6,328.066,0.5167999267578125,0.8235399723052979,0.802133321762085,0.7425000071525574,2,0,25000
2737,7,388.245,0.46966391801834106,0.8386600017547607,0.8444169163703918,0.7376999855041504,1,0,50000
3128,8,457.89,0.37430164217948914,0.8710399866104126,0.8935489058494568,0.7415000200271606,1,0,50000
3519,9,530.162,0.2862969636917114,0.9000999927520752,0.9632269740104675,0.7366999983787537,1,0,50000
3910,10,603.725,0.22063302993774414,0.9235799908638,1.0606378316879272,0.7376000285148621,1,0,50000
