global_step,epoch,elapsed_time_s,train_loss,train_accuracy,val_loss,val_accuracy,num_workers,worker_index,samples_per_worker
196,1,148.978,1.883296251296997,0.4427199959754944,3.036195993423462,0.1793999969959259,2,0,25000
392,2,277.442,1.2305928468704224,0.626039981842041,3.4237008094787598,0.21930000185966492,2,0,25000
588,3,408.587,0.9798738956451416,0.7197200059890747,1.5470890998840332,0.5720000267028809,2,0,25000
784,4,541.955,0.809545636177063,0.7799199819564819,1.0336164236068726,0.7225000262260437,2,0,25000
980,5,672.373,0.6872342228889465,0.8226199746131897,0.9337605237960815,0.7597000002861023,2,0,25000
1176,6,872.876,0.6714234352111816,0.8364800214767456,0.9578791856765747,0.7616999745368958,3,0,16666
1372,7,986.862,0.5461877584457397,0.8804600238800049,0.9524351358413696,0.7803999781608582,3,0,16666
1568,8,1100.302,0.46738696098327637,0.9127200245857239,0.9699604511260986,0.7835000157356262,3,0,16666
1764,9,1214.143,0.43632063269615173,0.9285799860954285,1.2478116750717163,0.7592999935150146,3,0,16666
1960,10,1326.986,0.4191826581954956,0.940559983253479,1.4654299020767212,0.7271999716758728,3,0,16666
